der Hund,dog
die Katze,cat
das Haus,house
gehen,to go
sprechen,to speak
das Buch,book
die Straße,street
trinken,to drink
der Apfel,apple
das Auto,car
die Sonne,sun
schlafen,to sleep
die Zeit,time
der Tisch,table
das Fenster,window
laufen,to run
die Blume,flower
der Baum,tree
das Wasser,water
kochen,to cook
die Schule,school
der Stuhl,chair
essen,to eat
die Tür,door
der Computer,computer
das Bett,bed
arbeiten,to work
die Familie,family
der Freund,friend
das Kind,child
sehen,to see
die Uhr,clock
der Tag,day
das Jahr,year
hören,to hear
die Hand,hand
der Kopf,head
das Auge,eye
lesen,to read
die Stadt,city
der Berg,mountain
das Meer,sea
schreiben,to write
die Nacht,night
der Morgen,morning
das Leben,life
spielen,to play
die Musik,music
der Film,movie
das Telefon,telephone
kaufen,to buy
die Farbe,color
der Himmel,sky
das Geld,money
lernen,to learn
die Arbeit,work
der Mond,moon
das Herz,heart
denken,to think
die Liebe,love
der Mensch,human
das Tier,animal
sagen,to say
die Woche,week
der Monat,month
das Land,country
fahren,to drive
die Sprache,language
der Körper,body
das Bein,leg
finden,to find
die Küche,kitchen
der Garten,garden
das Zimmer,room
machen,to make
die Reise,journey
der Zug,train
das Flugzeug,airplane
wohnen,to live
die Wohnung,apartment
der Supermarkt,supermarket
das Geschäft,store
verkaufen,to sell
die Kleidung,clothing
der Schuh,shoe
das Hemd,shirt
tragen,to wear
die Hose,pants
der Hut,hat
das Kleid,dress
waschen,to wash
die Jacke,jacket
der Mantel,coat
das Wetter,weather
regnen,to rain
die Wolke,cloud
der Wind,wind
das Feuer,fire
scheinen,to shine
die Erde,earth
der Stein,stone
das Holz,wood
wachsen,to grow
die Pflanze,plant
der Vogel,bird
das Insekt,insect
fliegen,to fly
die Luft,air
der Fisch,fish
schwimmen,to swim
die Insel,island
der Strand,beach
das Boot,boat
segeln,to sail
die Brücke,bridge
der Fluss,river
das Tal,valley
wandern,to hike
die Karte,map
der Kompass,compass
das Zelt,tent
campen,to camp
der Stern,star
leuchten,to shine
das Licht,light
dunkel,dark
der Regenbogen,rainbow
das Bild,picture
malen,to paint
die Kunst,art
der Künstler,artist
das Museum,museum
besuchen,to visit
die Ausstellung,exhibition
der Film,film
das Kino,cinema
schauen,to watch
der Musiker,musician
das Instrument,instrument
die Gitarre,guitar
der Klavierspieler,pianist
das Lied,song
singen,to sing
die Stimme,voice
der Tanz,dance
das Theater,theater
aufführen,to perform
die Bühne,stage
der Schauspieler,actor
das Publikum,audience
applaudieren,to applaud
die Geschichte,story
der Autor,author
das Gedicht,poem
die Zeitung,newspaper
der Artikel,article
das Magazin,magazine
die Nachricht,news
der Journalist,journalist
das Interview,interview
fragen,to ask
die Antwort,answer
der Satz,sentence
das Wort,word
übersetzen,to translate
der Dialekt,dialect
das Alphabet,alphabet
buchstabieren,to spell
die Grammatik,grammar
der Fehler,mistake
das Wörterbuch,dictionary
der Lehrer,teacher
das Klassenzimmer,classroom
unterrichten,to teach
die Prüfung,exam
der Student,student
das Studium,studies
studieren,to study
die Universität,university
der Professor,professor
das Seminar,seminar
forschen,to research
die Wissenschaft,science
der Forscher,researcher
das Experiment,experiment
entdecken,to discover
die Theorie,theory
der Beweis,proof
das Gesetz,law
beweisen,to prove
die Medizin,medicine
der Arzt,doctor
das Krankenhaus,hospital
heilen,to heal
die Krankheit,illness
der Patient,patient
das Rezept,prescription
behandeln,to treat
die Apotheke,pharmacy
der Zahnarzt,dentist
die Brille,glasses
der Optiker,optician
das Ohr,ear
die Nase,nose
der Mund,mouth
das Gesicht,face
riechen,to smell
die Haut,skin
der Knochen,bone
das Blut,blood
atmen,to breathe
die Lunge,lung
der Magen,stomach
schlagen,to beat
die Ernährung,nutrition
der Sportler,athlete
das Training,training
trainieren,to train
die Fitness,fitness
der Muskel,muscle
das Gewicht,weight
abnehmen,to lose weight
die Diät,diet
der Koch,cook
das Rezept,recipe
die Mahlzeit,meal
der Teller,plate
das Besteck,cutlery
die Suppe,soup
der Salat,salad
das Fleisch,meat
braten,to fry
die Kartoffel,potato
der Reis,rice
das Gemüse,vegetable
schneiden,to cut
die Frucht,fruit
der Kuchen,cake
das Dessert,dessert
backen,to bake
der Herd,stove
das Geschirr,dishes
spülen,to wash dishes
die Mikrowelle,microwave
der Kühlschrank,refrigerator
das Gefrierfach,freezer
kühlen,to cool
die Temperatur,temperature
der Grad,degree
das Thermometer,thermometer
messen,to measure
der Kalender,calendar
das Datum,date
planen,to plan
der Wecker,alarm clock
die Minute,minute
aufwachen,to wake up
der Beruf,profession
das Büro,office
